,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,75,CK,1586393631,84,-21.21,-159.78,86.0,20.8
1,Kapaa,40,US,1586393471,69,22.08,-159.32,80.6,11.41
2,Arraial do Cabo,95,BR,1586393350,77,-22.97,-42.03,73.22,13.58
3,Fairbanks,75,US,1586393471,36,64.84,-147.72,32.0,9.17
4,Atuona,11,PF,1586393594,79,-9.8,-139.03,82.67,13.53
5,Mar del Plata,20,AR,1586393146,87,-38.0,-57.56,54.0,3.36
6,Albany,90,US,1586393473,54,42.6,-73.97,53.6,12.75
7,Cape Town,1,ZA,1586393595,81,-33.93,18.42,59.0,1.12
8,Qaanaaq,100,GL,1586393597,83,77.48,-69.36,12.96,8.03
9,Rikitea,80,PF,1586393472,80,-23.12,-134.97,76.62,9.46
10,Vaini,75,TO,1586393194,83,-21.2,-175.2,82.4,28.86
11,Ushuaia,7,AR,1586393473,30,-54.8,-68.3,68.0,3.36
12,Antofagasta,90,CL,1586393473,72,-23.65,-70.4,68.0,8.05
13,Krasnokamensk,96,RU,1586393387,48,50.1,118.04,37.83,3.44
14,Butaritari,73,KI,1586393474,78,3.07,172.79,83.79,15.08
15,Opuwo,29,NA,1586393474,26,-18.06,13.84,66.88,2.86
16,Bethel,20,US,1586393474,58,41.37,-73.41,53.6,4.7
17,Nordhausen,1,DE,1586393475,70,51.52,10.8,57.99,12.75
18,Salalah,20,OM,1586393475,69,17.02,54.09,78.8,3.36
19,George Town,20,MY,1586393427,100,5.41,100.34,82.4,3.36
20,Olinda,20,BR,1586393476,78,-8.01,-34.86,82.4,5.82
21,Ixtapa,40,MX,1586393476,78,20.7,-105.2,78.8,8.05
22,Bluff,100,NZ,1586393476,88,-46.6,168.33,53.01,14.0
23,Hobart,11,AU,1586393316,66,-42.88,147.33,55.4,10.29
24,Coahuayana Viejo,40,MX,1586393477,29,18.73,-103.68,87.8,5.82
25,Isangel,40,VU,1586393477,66,-19.55,169.27,84.2,11.41
26,Windsor,75,CA,1586393198,67,42.3,-83.02,66.2,4.7
27,Carnarvon,70,AU,1586393477,73,-24.87,113.63,75.2,5.82
28,Shingū,4,JP,1586393478,33,33.73,135.98,59.0,5.82
29,Mataura,100,NZ,1586393478,88,-46.19,168.86,53.01,14.0
30,Santa Cruz del Sur,7,CU,1586393478,68,20.71,-78.0,80.4,3.71
31,Souillac,55,MU,1586393479,83,-20.52,57.52,78.01,3.0
32,Nikolskoye,100,RU,1586393479,68,59.7,30.79,44.6,8.95
33,Yueyang,0,CN,1586393479,61,29.33,113.09,64.42,5.57
34,Denpasar,20,ID,1586393241,94,-8.65,115.22,82.4,3.36
35,Hilo,90,US,1586393480,65,19.73,-155.09,78.8,8.05
36,Port Alfred,85,ZA,1586393480,71,-33.59,26.89,64.02,18.79
37,Provideniya,63,RU,1586393480,72,64.38,-173.3,12.2,11.18
38,Tutóia,97,BR,1586393480,84,-2.76,-42.27,80.53,10.71
39,Cap Estate,20,LC,1586393481,78,14.08,-60.95,78.8,9.17
40,Kibala,20,TD,1586393481,73,9.11,18.35,77.0,10.29
41,Muravlenko,100,RU,1586393089,96,63.79,74.52,20.79,17.38
42,Saint-Augustin,100,CA,1586392984,95,51.23,-58.65,23.09,11.86
43,Lenger,90,KZ,1586393482,72,42.18,69.88,32.0,2.24
44,Cabo San Lucas,90,MX,1586393235,64,22.89,-109.91,78.8,19.46
45,Madimba,55,TZ,1586393482,84,-10.4,40.33,78.76,6.49
46,Izumo,20,JP,1586393482,71,35.37,132.77,51.8,2.24
47,Kropotkin,0,RU,1586393483,72,45.44,40.58,37.22,4.34
48,Dikson,100,RU,1586393483,96,73.51,80.55,32.32,25.55
49,Oyama,20,JP,1586393483,41,36.3,139.8,62.01,9.17
